city,district,village,neighborhood,address,compile_date,compile_type
台北市,大安區,民炤里,013鄰,新生南路一段１５７巷２０號,民國114年11月7日,門牌初編
台北市,大安區,民炤里,013鄰,新生南路一段１５７巷２０號七樓,民國114年11月7日,門牌初編
台北市,大安區,民炤里,013鄰,新生南路一段１５７巷２０號七樓之１,民國114年11月7日,門牌初編
台北市,大安區,民炤里,013鄰,新生南路一段１５７巷２０號九樓,民國114年11月7日,門牌初編
台北市,大安區,民炤里,013鄰,新生南路一段１５７巷２０號九樓之１,民國114年11月7日,門牌初編
台北市,大安區,民炤里,013鄰,新生南路一段１５７巷２０號二樓,民國114年11月7日,門牌初編
台北市,大安區,民炤里,013鄰,新生南路一段１５７巷２０號二樓之１,民國114年11月7日,門牌初編
台北市,大安區,民炤里,013鄰,新生南路一段１５７巷２０號八樓,民國114年11月7日,門牌初編
台北市,大安區,民炤里,013鄰,新生南路一段１５７巷２０號八樓之１,民國114年11月7日,門牌初編
台北市,大安區,民炤里,013鄰,新生南路一段１５７巷２０號十一樓,民國114年11月7日,門牌初編
台北市,大安區,民炤里,013鄰,新生南路一段１５７巷２０號十一樓之１,民國114年11月7日,門牌初編
台北市,大安區,民炤里,013鄰,新生南路一段１５７巷２０號十二樓,民國114年11月7日,門牌初編
台北市,大安區,民炤里,013鄰,新生南路一段１５７巷２０號十二樓之１,民國114年11月7日,門牌初編
台北市,大安區,民炤里,013鄰,新生南路一段１５７巷２０號十三樓,民國114年11月7日,門牌初編
台北市,大安區,民炤里,013鄰,新生南路一段１５７巷２０號十三樓之１,民國114年11月7日,門牌初編
台北市,大安區,民炤里,013鄰,新生南路一段１５７巷２０號十樓,民國114年11月7日,門牌初編
台北市,大安區,民炤里,013鄰,新生南路一段１５７巷２０號十樓之１,民國114年11月7日,門牌初編
台北市,大安區,民炤里,013鄰,新生南路一段１５７巷２０號三樓,民國114年11月7日,門牌初編
台北市,大安區,民炤里,013鄰,新生南路一段１５７巷２０號三樓之１,民國114年11月7日,門牌初編
台北市,大安區,民炤里,013鄰,新生南路一段１５７巷２０號五樓,民國114年11月7日,門牌初編
台北市,大安區,民炤里,013鄰,新生南路一段１５７巷２０號五樓之１,民國114年11月7日,門牌初編
台北市,大安區,民炤里,013鄰,新生南路一段１５７巷２０號六樓,民國114年11月7日,門牌初編
台北市,大安區,民炤里,013鄰,新生南路一段１５７巷２０號六樓之１,民國114年11月7日,門牌初編
台北市,大安區,民炤里,013鄰,新生南路一段１５７巷２０號四樓,民國114年11月7日,門牌初編
台北市,大安區,民炤里,013鄰,新生南路一段１５７巷２０號四樓之１,民國114年11月7日,門牌初編
台北市,大安區,芳和里,014鄰,和平東路三段２１２巷２７之１號,民國114年10月22日,門牌初編
台北市,大安區,民輝里,002鄰,新生南路一段１１７號,民國114年10月17日,門牌初編
